	ERR11588428_R1_filtered.fastq.gz	ERR11588429_R1_filtered.fastq.gz	ERR11588430_R1_filtered.fastq.gz	ERR11588431_R1_filtered.fastq.gz	ERR11588432_R1_filtered.fastq.gz	ERR11588433_R1_filtered.fastq.gz	ERR11588434_R1_filtered.fastq.gz	ERR11588435_R1_filtered.fastq.gz	ERR11588436_R1_filtered.fastq.gz	ERR11588437_R1_filtered.fastq.gz
ASV_485	0	0	0	0	0	72	0	0	0	0
ASV_486	0	0	0	0	0	0	0	72	0	0
ASV_487	0	0	0	0	0	0	0	0	72	0
ASV_488	0	0	0	0	0	0	0	0	72	0
ASV_489	0	0	0	0	0	0	0	0	0	72
ASV_490	71	0	0	0	0	0	0	0	0	0
ASV_491	71	0	0	0	0	0	0	0	0	0
ASV_492	71	0	0	0	0	0	0	0	0	0
ASV_493	25	23	23	0	0	0	0	0	0	0
ASV_494	16	19	8	0	0	0	7	21	0	0
ASV_495	0	71	0	0	0	0	0	0	0	0
ASV_496	0	46	25	0	0	0	0	0	0	0
ASV_497	0	0	0	0	71	0	0	0	0	0
ASV_498	0	0	0	0	71	0	0	0	0	0
ASV_499	0	0	0	0	0	0	32	39	0	0
ASV_500	0	0	0	0	0	0	0	71	0	0
ASV_501	0	0	0	0	0	0	0	0	71	0
ASV_502	0	0	0	0	0	0	0	0	71	0
ASV_503	0	0	0	0	0	0	0	0	71	0
ASV_504	70	0	0	0	0	0	0	0	0	0
ASV_505	44	0	26	0	0	0	0	0	0	0
ASV_506	28	42	0	0	0	0	0	0	0	0
ASV_507	23	15	10	0	0	0	22	0	0	0
ASV_508	12	23	21	0	0	0	14	0	0	0
ASV_509	0	70	0	0	0	0	0	0	0	0
ASV_510	0	70	0	0	0	0	0	0	0	0
ASV_511	0	40	30	0	0	0	0	0	0	0
ASV_512	0	0	70	0	0	0	0	0	0	0
ASV_513	0	0	70	0	0	0	0	0	0	0
ASV_514	0	0	0	36	0	34	0	0	0	0
ASV_515	0	0	0	0	70	0	0	0	0	0
ASV_516	0	0	0	0	70	0	0	0	0	0
ASV_517	0	0	0	0	70	0	0	0	0	0
ASV_518	0	0	0	0	70	0	0	0	0	0
ASV_519	0	0	0	0	0	0	33	37	0	0
ASV_520	0	0	0	0	0	0	0	0	70	0
ASV_521	0	0	0	0	0	0	0	0	0	70
ASV_522	69	0	0	0	0	0	0	0	0	0
ASV_523	15	26	28	0	0	0	0	0	0	0
ASV_524	12	31	26	0	0	0	0	0	0	0
ASV_525	0	69	0	0	0	0	0	0	0	0
ASV_526	0	0	0	0	0	69	0	0	0	0
ASV_527	0	0	0	0	0	0	69	0	0	0
ASV_528	0	0	0	0	0	0	69	0	0	0
ASV_529	0	0	0	0	0	0	0	69	0	0
ASV_530	0	0	0	0	0	0	0	0	69	0
ASV_531	68	0	0	0	0	0	0	0	0	0
ASV_532	68	0	0	0	0	0	0	0	0	0
ASV_533	68	0	0	0	0	0	0	0	0	0
ASV_534	24	17	27	0	0	0	0	0	0	0
ASV_535	19	25	12	0	0	0	12	0	0	0
ASV_536	0	68	0	0	0	0	0	0	0	0
ASV_537	0	31	37	0	0	0	0	0	0	0
ASV_538	0	17	0	0	0	0	51	0	0	0
ASV_539	0	0	68	0	0	0	0	0	0	0
ASV_540	0	0	68	0	0	0	0	0	0	0
ASV_541	0	0	0	0	0	0	0	68	0	0
ASV_542	0	0	0	0	0	0	0	68	0	0
ASV_543	0	0	0	0	0	0	0	0	68	0
ASV_544	0	0	0	0	0	0	0	0	0	68
ASV_545	0	0	0	0	0	0	0	0	0	68
ASV_546	67	0	0	0	0	0	0	0	0	0
ASV_547	30	20	17	0	0	0	0	0	0	0
ASV_548	26	41	0	0	0	0	0	0	0	0
ASV_549	0	67	0	0	0	0	0	0	0	0
ASV_550	0	67	0	0	0	0	0	0	0	0
ASV_551	0	67	0	0	0	0	0	0	0	0
ASV_552	0	0	0	67	0	0	0	0	0	0
ASV_553	0	0	0	34	22	0	0	0	11	0
ASV_554	0	0	0	29	18	20	0	0	0	0
ASV_555	0	0	0	0	67	0	0	0	0	0
ASV_556	0	0	0	0	0	67	0	0	0	0
ASV_557	0	0	0	0	0	0	67	0	0	0
ASV_558	0	0	0	0	0	0	67	0	0	0
ASV_559	0	0	0	0	0	0	0	67	0	0
ASV_560	0	0	0	0	0	0	0	0	0	67
ASV_561	46	20	0	0	0	0	0	0	0	0
ASV_562	0	0	0	66	0	0	0	0	0	0
ASV_563	0	0	0	22	34	0	0	0	10	0
ASV_564	0	0	0	0	30	36	0	0	0	0
ASV_565	0	0	0	0	0	66	0	0	0	0
ASV_566	0	0	0	0	0	66	0	0	0	0
ASV_567	0	0	0	0	0	66	0	0	0	0
ASV_568	0	0	0	0	0	0	66	0	0	0
ASV_569	0	0	0	0	0	0	0	66	0	0
ASV_570	0	0	0	0	0	0	0	66	0	0
ASV_571	0	0	0	0	0	0	0	0	66	0
ASV_572	65	0	0	0	0	0	0	0	0	0
ASV_573	0	65	0	0	0	0	0	0	0	0
ASV_574	0	38	27	0	0	0	0	0	0	0
ASV_575	0	0	65	0	0	0	0	0	0	0
ASV_576	0	0	0	0	65	0	0	0	0	0
ASV_577	0	0	0	0	22	43	0	0	0	0
ASV_578	0	0	0	0	0	0	65	0	0	0
ASV_579	0	0	0	0	0	0	50	15	0	0
ASV_580	0	0	0	0	0	0	33	32	0	0
ASV_581	0	0	0	0	0	0	32	33	0	0
ASV_582	0	0	0	0	0	0	0	65	0	0
ASV_583	0	0	0	0	0	0	0	0	65	0
ASV_584	64	0	0	0	0	0	0	0	0	0
ASV_585	39	0	25	0	0	0	0	0	0	0
ASV_586	23	20	16	0	0	0	5	0	0	0
ASV_587	22	18	24	0	0	0	0	0	0	0
ASV_588	0	64	0	0	0	0	0	0	0	0
ASV_589	0	26	38	0	0	0	0	0	0	0
ASV_590	0	0	0	64	0	0	0	0	0	0
ASV_591	0	0	0	32	17	15	0	0	0	0
ASV_592	0	0	0	0	64	0	0	0	0	0
ASV_593	0	0	0	0	0	64	0	0	0	0
ASV_594	0	0	0	0	0	64	0	0	0	0
ASV_595	0	0	0	0	0	0	64	0	0	0
ASV_596	0	0	0	0	0	0	64	0	0	0
ASV_597	0	0	0	0	0	0	0	64	0	0
ASV_598	0	0	0	0	0	0	0	64	0	0
ASV_599	0	0	0	0	0	0	0	0	64	0
ASV_600	0	0	0	0	0	0	0	0	0	64
ASV_601	0	0	0	0	0	0	0	0	0	64
ASV_602	0	0	0	0	0	0	0	0	0	64
ASV_603	63	0	0	0	0	0	0	0	0	0
ASV_604	47	16	0	0	0	0	0	0	0	0
ASV_605	21	32	10	0	0	0	0	0	0	0
ASV_606	0	19	44	0	0	0	0	0	0	0
ASV_607	0	0	0	63	0	0	0	0	0	0
ASV_608	0	0	0	0	0	63	0	0	0	0
ASV_609	0	0	0	0	0	0	26	37	0	0
ASV_610	0	0	0	0	0	0	0	63	0	0
ASV_611	0	0	0	0	0	0	0	63	0	0
ASV_612	0	0	0	0	0	0	0	63	0	0
ASV_613	0	0	0	0	0	0	0	63	0	0
ASV_614	0	0	0	0	0	0	0	39	0	24
ASV_615	0	0	0	0	0	0	0	0	63	0
ASV_616	0	0	0	0	0	0	0	0	63	0
ASV_617	0	0	0	0	0	0	0	0	0	63
ASV_618	62	0	0	0	0	0	0	0	0	0
ASV_619	49	0	13	0	0	0	0	0	0	0
ASV_620	15	47	0	0	0	0	0	0	0	0
ASV_621	0	62	0	0	0	0	0	0	0	0
ASV_622	0	62	0	0	0	0	0	0	0	0
ASV_623	0	62	0	0	0	0	0	0	0	0
ASV_624	0	62	0	0	0	0	0	0	0	0
ASV_625	0	62	0	0	0	0	0	0	0	0
ASV_626	0	0	0	62	0	0	0	0	0	0
ASV_627	0	0	0	0	62	0	0	0	0	0
ASV_628	0	0	0	0	62	0	0	0	0	0
ASV_629	0	0	0	0	0	0	62	0	0	0
ASV_630	0	0	0	0	0	0	62	0	0	0
ASV_631	0	0	0	0	0	0	62	0	0	0
ASV_632	0	0	0	0	0	0	0	62	0	0
ASV_633	0	0	0	0	0	0	0	62	0	0
ASV_634	0	0	0	0	0	0	0	0	62	0
ASV_635	0	0	0	0	0	0	0	0	62	0
ASV_636	0	0	0	0	0	0	0	0	62	0
ASV_637	0	0	0	0	0	0	0	0	62	0
ASV_638	0	0	0	61	0	0	0	0	0	0
ASV_639	0	0	0	37	15	9	0	0	0	0
ASV_640	0	0	0	23	0	38	0	0	0	0
ASV_641	0	0	0	0	0	61	0	0	0	0
ASV_642	0	0	0	0	0	0	61	0	0	0
ASV_643	0	0	0	0	0	0	61	0	0	0
ASV_644	0	0	0	0	0	0	0	61	0	0
ASV_645	60	0	0	0	0	0	0	0	0	0
ASV_646	36	24	0	0	0	0	0	0	0	0
ASV_647	29	0	31	0	0	0	0	0	0	0
ASV_648	22	13	25	0	0	0	0	0	0	0
ASV_649	20	18	15	0	0	0	7	0	0	0
ASV_650	16	14	30	0	0	0	0	0	0	0
ASV_651	0	60	0	0	0	0	0	0	0	0
ASV_652	0	0	60	0	0	0	0	0	0	0
ASV_653	0	0	60	0	0	0	0	0	0	0
ASV_654	0	0	0	0	60	0	0	0	0	0
ASV_655	0	0	0	0	60	0	0	0	0	0
ASV_656	0	0	0	0	0	0	60	0	0	0
ASV_657	0	0	0	0	0	0	0	60	0	0
ASV_658	0	0	0	0	0	0	0	0	60	0
ASV_659	0	0	0	0	0	0	0	0	0	60
ASV_660	40	0	19	0	0	0	0	0	0	0
ASV_661	0	59	0	0	0	0	0	0	0	0
ASV_662	0	59	0	0	0	0	0	0	0	0
ASV_663	0	59	0	0	0	0	0	0	0	0
ASV_664	0	36	23	0	0	0	0	0	0	0
ASV_665	0	30	29	0	0	0	0	0	0	0
ASV_666	0	0	0	59	0	0	0	0	0	0
ASV_667	0	0	0	59	0	0	0	0	0	0
ASV_668	0	0	0	26	33	0	0	0	0	0
ASV_669	0	0	0	26	18	0	0	0	15	0
ASV_670	0	0	0	0	59	0	0	0	0	0
ASV_671	0	0	0	0	0	59	0	0	0	0
ASV_672	0	0	0	0	0	0	0	0	59	0
ASV_673	0	0	0	0	0	0	0	0	59	0
ASV_674	0	0	0	0	0	0	0	0	59	0
ASV_675	0	0	0	0	0	0	0	0	59	0
ASV_676	0	0	0	0	0	0	0	0	59	0
ASV_677	58	0	0	0	0	0	0	0	0	0
ASV_678	58	0	0	0	0	0	0	0	0	0
ASV_679	21	0	37	0	0	0	0	0	0	0
ASV_680	21	17	20	0	0	0	0	0	0	0
ASV_681	17	0	41	0	0	0	0	0	0	0
ASV_682	0	58	0	0	0	0	0	0	0	0
ASV_683	0	58	0	0	0	0	0	0	0	0
ASV_684	0	30	28	0	0	0	0	0	0	0
ASV_685	0	27	31	0	0	0	0	0	0	0
ASV_686	0	0	58	0	0	0	0	0	0	0
ASV_687	0	0	58	0	0	0	0	0	0	0
ASV_688	0	0	0	0	58	0	0	0	0	0
ASV_689	0	0	0	0	58	0	0	0	0	0
ASV_690	0	0	0	0	0	58	0	0	0	0
ASV_691	0	0	0	0	0	58	0	0	0	0
ASV_692	0	0	0	0	0	58	0	0	0	0
ASV_693	0	0	0	0	0	58	0	0	0	0
ASV_694	0	0	0	0	0	0	58	0	0	0
ASV_695	0	0	0	0	0	0	0	58	0	0
ASV_696	0	0	0	0	0	0	0	58	0	0
ASV_697	0	0	0	0	0	0	0	58	0	0
ASV_698	0	0	0	0	0	0	0	0	58	0
ASV_699	0	0	0	0	0	0	0	0	58	0
ASV_700	57	0	0	0	0	0	0	0	0	0
ASV_701	0	57	0	0	0	0	0	0	0	0
ASV_702	0	0	57	0	0	0	0	0	0	0
ASV_703	0	0	0	57	0	0	0	0	0	0
ASV_704	0	0	0	57	0	0	0	0	0	0
ASV_705	0	0	0	29	21	7	0	0	0	0
ASV_706	0	0	0	0	57	0	0	0	0	0
ASV_707	0	0	0	0	57	0	0	0	0	0
ASV_708	0	0	0	0	57	0	0	0	0	0
ASV_709	0	0	0	0	57	0	0	0	0	0
ASV_710	0	0	0	0	57	0	0	0	0	0
ASV_711	0	0	0	0	0	0	57	0	0	0
ASV_712	0	0	0	0	0	0	57	0	0	0
ASV_713	0	0	0	0	0	0	29	28	0	0
ASV_714	0	0	0	0	0	0	0	57	0	0
ASV_715	0	0	0	0	0	0	0	57	0	0
ASV_716	0	0	0	0	0	0	0	0	57	0
ASV_717	0	0	0	0	0	0	0	0	57	0
ASV_718	0	0	0	0	0	0	0	0	0	57
ASV_719	0	0	0	0	0	0	0	0	0	57
ASV_720	56	0	0	0	0	0	0	0	0	0
ASV_721	33	0	23	0	0	0	0	0	0	0
ASV_722	16	14	26	0	0	0	0	0	0	0
ASV_723	15	28	13	0	0	0	0	0	0	0
ASV_724	0	56	0	0	0	0	0	0	0	0
ASV_725	0	56	0	0	0	0	0	0	0	0
ASV_726	0	24	32	0	0	0	0	0	0	0
ASV_727	0	24	32	0	0	0	0	0	0	0
ASV_728	0	0	56	0	0	0	0	0	0	0
ASV_729	0	0	0	56	0	0	0	0	0	0
ASV_730	0	0	0	56	0	0	0	0	0	0
ASV_731	0	0	0	0	56	0	0	0	0	0
ASV_732	0	0	0	0	56	0	0	0	0	0
ASV_733	0	0	0	0	0	56	0	0	0	0
ASV_734	0	0	0	0	0	56	0	0	0	0
ASV_735	0	0	0	0	0	0	56	0	0	0
ASV_736	0	0	0	0	0	0	56	0	0	0
ASV_737	0	0	0	0	0	0	56	0	0	0
ASV_738	0	0	0	0	0	0	0	56	0	0
ASV_739	0	0	0	0	0	0	0	56	0	0
ASV_740	0	0	0	0	0	0	0	56	0	0
ASV_741	0	0	0	0	0	0	0	0	56	0
ASV_742	0	0	0	0	0	0	0	0	0	56
ASV_743	0	0	0	0	0	0	0	0	0	56
ASV_744	55	0	0	0	0	0	0	0	0	0
ASV_745	55	0	0	0	0	0	0	0	0	0
ASV_746	22	14	15	0	0	0	4	0	0	0
ASV_747	0	55	0	0	0	0	0	0	0	0
ASV_748	0	0	55	0	0	0	0	0	0	0
ASV_749	0	0	55	0	0	0	0	0	0	0
ASV_750	0	0	0	0	55	0	0	0	0	0
ASV_751	0	0	0	0	55	0	0	0	0	0
ASV_752	0	0	0	0	55	0	0	0	0	0
ASV_753	0	0	0	0	0	0	55	0	0	0
ASV_754	0	0	0	0	0	0	55	0	0	0
ASV_755	0	0	0	0	0	0	55	0	0	0
ASV_756	0	0	0	0	0	0	55	0	0	0
ASV_757	0	0	0	0	0	0	55	0	0	0
ASV_758	0	0	0	0	0	0	55	0	0	0
ASV_759	0	0	0	0	0	0	0	0	55	0
ASV_760	0	0	0	0	0	0	0	0	55	0
ASV_761	0	0	0	0	0	0	0	0	0	55
ASV_762	54	0	0	0	0	0	0	0	0	0
ASV_763	54	0	0	0	0	0	0	0	0	0
ASV_764	54	0	0	0	0	0	0	0	0	0
ASV_765	0	54	0	0	0	0	0	0	0	0
ASV_766	0	54	0	0	0	0	0	0	0	0
ASV_767	0	54	0	0	0	0	0	0	0	0
ASV_768	0	19	35	0	0	0	0	0	0	0
ASV_769	0	0	54	0	0	0	0	0	0	0
ASV_770	0	0	54	0	0	0	0	0	0	0
ASV_771	0	0	54	0	0	0	0	0	0	0
ASV_772	0	0	54	0	0	0	0	0	0	0
ASV_773	0	0	54	0	0	0	0	0	0	0
ASV_774	0	0	0	54	0	0	0	0	0	0
ASV_775	0	0	0	0	54	0	0	0	0	0
ASV_776	0	0	0	0	54	0	0	0	0	0
ASV_777	0	0	0	0	0	0	54	0	0	0
ASV_778	0	0	0	0	0	0	54	0	0	0
ASV_779	0	0	0	0	0	0	54	0	0	0
ASV_780	0	0	0	0	0	0	0	54	0	0
ASV_781	0	0	0	0	0	0	0	54	0	0
ASV_782	0	0	0	0	0	0	0	0	54	0
ASV_783	0	0	0	0	0	0	0	0	54	0
ASV_784	53	0	0	0	0	0	0	0	0	0
ASV_785	53	0	0	0	0	0	0	0	0	0
ASV_786	17	22	14	0	0	0	0	0	0	0
ASV_787	0	53	0	0	0	0	0	0	0	0
ASV_788	0	53	0	0	0	0	0	0	0	0
ASV_789	0	0	53	0	0	0	0	0	0	0
ASV_790	0	0	53	0	0	0	0	0	0	0
ASV_791	0	0	53	0	0	0	0	0	0	0
ASV_792	0	0	21	0	0	0	11	21	0	0
ASV_793	0	0	0	0	53	0	0	0	0	0
ASV_794	0	0	0	0	53	0	0	0	0	0
ASV_795	0	0	0	0	0	53	0	0	0	0
ASV_796	0	0	0	0	0	0	53	0	0	0
ASV_797	0	0	0	0	0	0	0	53	0	0
ASV_798	0	0	0	0	0	0	0	53	0	0
ASV_799	0	0	0	0	0	0	0	0	53	0
ASV_800	0	0	0	0	0	0	0	0	53	0
ASV_801	0	0	0	0	0	0	0	0	53	0
ASV_802	0	0	0	0	0	0	0	0	53	0
ASV_803	0	0	0	0	0	0	0	0	53	0
ASV_804	52	0	0	0	0	0	0	0	0	0
ASV_805	52	0	0	0	0	0	0	0	0	0
ASV_806	52	0	0	0	0	0	0	0	0	0
ASV_807	52	0	0	0	0	0	0	0	0	0
ASV_808	22	12	18	0	0	0	0	0	0	0
ASV_809	17	0	35	0	0	0	0	0	0	0
ASV_810	0	52	0	0	0	0	0	0	0	0
ASV_811	0	52	0	0	0	0	0	0	0	0
ASV_812	0	52	0	0	0	0	0	0	0	0
ASV_813	0	52	0	0	0	0	0	0	0	0
ASV_814	0	0	52	0	0	0	0	0	0	0
ASV_815	0	0	52	0	0	0	0	0	0	0
ASV_816	0	0	0	52	0	0	0	0	0	0
ASV_817	0	0	0	0	52	0	0	0	0	0
ASV_818	0	0	0	0	0	52	0	0	0	0
ASV_819	0	0	0	0	0	52	0	0	0	0
ASV_820	0	0	0	0	0	52	0	0	0	0
ASV_821	0	0	0	0	0	0	52	0	0	0
ASV_822	0	0	0	0	0	0	52	0	0	0
ASV_823	0	0	0	0	0	0	52	0	0	0
ASV_824	0	0	0	0	0	0	52	0	0	0
ASV_825	0	0	0	0	0	0	52	0	0	0
ASV_826	0	0	0	0	0	0	0	52	0	0
ASV_827	0	0	0	0	0	0	0	52	0	0
ASV_828	0	0	0	0	0	0	0	52	0	0
ASV_829	51	0	0	0	0	0	0	0	0	0
ASV_830	51	0	0	0	0	0	0	0	0	0
ASV_831	51	0	0	0	0	0	0	0	0	0
ASV_832	28	0	23	0	0	0	0	0	0	0
ASV_833	15	0	36	0	0	0	0	0	0	0
ASV_834	14	18	19	0	0	0	0	0	0	0
ASV_835	9	8	19	0	0	0	15	0	0	0
ASV_836	9	14	28	0	0	0	0	0	0	0
ASV_837	0	51	0	0	0	0	0	0	0	0
ASV_838	0	51	0	0	0	0	0	0	0	0
ASV_839	0	0	51	0	0	0	0	0	0	0
ASV_840	0	0	0	51	0	0	0	0	0	0
ASV_841	0	0	0	51	0	0	0	0	0	0
ASV_842	0	0	0	0	51	0	0	0	0	0
ASV_843	0	0	0	0	51	0	0	0	0	0
ASV_844	0	0	0	0	51	0	0	0	0	0
ASV_845	0	0	0	0	0	51	0	0	0	0
ASV_846	0	0	0	0	0	51	0	0	0	0
ASV_847	0	0	0	0	0	0	51	0	0	0
ASV_848	0	0	0	0	0	0	0	51	0	0
ASV_849	0	0	0	0	0	0	0	51	0	0
ASV_850	0	0	0	0	0	0	0	51	0	0
ASV_851	0	0	0	0	0	0	0	0	51	0
ASV_852	0	0	0	0	0	0	0	0	51	0
ASV_853	0	0	0	0	0	0	0	0	51	0
ASV_854	0	0	0	0	0	0	0	0	51	0
ASV_855	0	0	0	0	0	0	0	0	0	51
ASV_856	50	0	0	0	0	0	0	0	0	0
ASV_857	50	0	0	0	0	0	0	0	0	0
ASV_858	50	0	0	0	0	0	0	0	0	0
ASV_859	50	0	0	0	0	0	0	0	0	0
ASV_860	50	0	0	0	0	0	0	0	0	0
ASV_861	30	0	20	0	0	0	0	0	0	0
ASV_862	0	50	0	0	0	0	0	0	0	0
ASV_863	0	50	0	0	0	0	0	0	0	0
ASV_864	0	50	0	0	0	0	0	0	0	0
ASV_865	0	50	0	0	0	0	0	0	0	0
ASV_866	0	50	0	0	0	0	0	0	0	0
ASV_867	0	0	50	0	0	0	0	0	0	0
ASV_868	0	0	50	0	0	0	0	0	0	0
ASV_869	0	0	50	0	0	0	0	0	0	0
ASV_870	0	0	50	0	0	0	0	0	0	0
ASV_871	0	0	0	50	0	0	0	0	0	0
ASV_872	0	0	0	0	50	0	0	0	0	0
ASV_873	0	0	0	0	50	0	0	0	0	0
ASV_874	0	0	0	0	50	0	0	0	0	0
ASV_875	0	0	0	0	15	35	0	0	0	0
ASV_876	0	0	0	0	0	50	0	0	0	0
ASV_877	0	0	0	0	0	50	0	0	0	0
ASV_878	0	0	0	0	0	50	0	0	0	0
ASV_879	0	0	0	0	0	0	50	0	0	0
ASV_880	0	0	0	0	0	0	50	0	0	0
ASV_881	0	0	0	0	0	0	50	0	0	0
ASV_882	0	0	0	0	0	0	0	50	0	0
ASV_883	0	0	0	0	0	0	0	50	0	0
ASV_884	0	0	0	0	0	0	0	50	0	0
ASV_885	0	0	0	0	0	0	0	0	50	0
ASV_886	0	0	0	0	0	0	0	0	0	50
ASV_887	0	0	0	0	0	0	0	0	0	50
ASV_888	0	0	0	0	0	0	0	0	0	50
ASV_889	0	0	0	0	0	0	0	0	0	50
ASV_890	49	0	0	0	0	0	0	0	0	0
ASV_891	49	0	0	0	0	0	0	0	0	0
ASV_892	0	49	0	0	0	0	0	0	0	0
ASV_893	0	49	0	0	0	0	0	0	0	0
ASV_894	0	31	18	0	0	0	0	0	0	0
ASV_895	0	0	49	0	0	0	0	0	0	0
ASV_896	0	0	49	0	0	0	0	0	0	0
ASV_897	0	0	49	0	0	0	0	0	0	0
ASV_898	0	0	49	0	0	0	0	0	0	0
ASV_899	0	0	49	0	0	0	0	0	0	0
ASV_900	0	0	49	0	0	0	0	0	0	0
ASV_901	0	0	49	0	0	0	0	0	0	0
ASV_902	0	0	0	49	0	0	0	0	0	0
ASV_903	0	0	0	49	0	0	0	0	0	0
ASV_904	0	0	0	49	0	0	0	0	0	0
ASV_905	0	0	0	0	49	0	0	0	0	0
ASV_906	0	0	0	0	49	0	0	0	0	0
ASV_907	0	0	0	0	0	49	0	0	0	0
ASV_908	0	0	0	0	0	0	49	0	0	0
ASV_909	0	0	0	0	0	0	0	49	0	0
ASV_910	0	0	0	0	0	0	0	49	0	0
ASV_911	0	0	0	0	0	0	0	49	0	0
ASV_912	0	0	0	0	0	0	0	49	0	0
ASV_913	0	0	0	0	0	0	0	49	0	0
ASV_914	0	0	0	0	0	0	0	0	49	0
ASV_915	0	0	0	0	0	0	0	0	49	0
ASV_916	0	0	0	0	0	0	0	0	49	0
ASV_917	0	0	0	0	0	0	0	0	49	0
ASV_918	0	0	0	0	0	0	0	0	49	0
ASV_919	0	0	0	0	0	0	0	0	49	0
ASV_920	0	0	0	0	0	0	0	0	0	49
ASV_921	0	0	0	0	0	0	0	0	0	49
ASV_922	48	0	0	0	0	0	0	0	0	0
ASV_923	48	0	0	0	0	0	0	0	0	0
ASV_924	48	0	0	0	0	0	0	0	0	0
ASV_925	48	0	0	0	0	0	0	0	0	0
ASV_926	48	0	0	0	0	0	0	0	0	0
ASV_927	48	0	0	0	0	0	0	0	0	0
ASV_928	15	12	21	0	0	0	0	0	0	0
ASV_929	12	22	8	0	0	0	6	0	0	0
ASV_930	0	48	0	0	0	0	0	0	0	0
ASV_931	0	48	0	0	0	0	0	0	0	0
ASV_932	0	0	48	0	0	0	0	0	0	0
ASV_933	0	0	48	0	0	0	0	0	0	0
ASV_934	0	0	0	48	0	0	0	0	0	0
ASV_935	0	0	0	48	0	0	0	0	0	0
ASV_936	0	0	0	48	0	0	0	0	0	0
ASV_937	0	0	0	48	0	0	0	0	0	0
ASV_938	0	0	0	0	48	0	0	0	0	0
ASV_939	0	0	0	0	48	0	0	0	0	0
ASV_940	0	0	0	0	0	48	0	0	0	0
ASV_941	0	0	0	0	0	0	48	0	0	0
ASV_942	0	0	0	0	0	0	48	0	0	0
ASV_943	0	0	0	0	0	0	48	0	0	0
ASV_944	0	0	0	0	0	0	0	48	0	0
ASV_945	0	0	0	0	0	0	0	0	48	0
ASV_946	0	0	0	0	0	0	0	0	48	0
ASV_947	0	0	0	0	0	0	0	0	48	0
ASV_948	0	0	0	0	0	0	0	0	0	48
ASV_949	0	0	0	0	0	0	0	0	0	48
ASV_950	0	0	0	0	0	0	0	0	0	48
ASV_951	0	0	0	0	0	0	0	0	0	48
ASV_952	47	0	0	0	0	0	0	0	0	0
ASV_953	47	0	0	0	0	0	0	0	0	0
ASV_954	47	0	0	0	0	0	0	0	0	0
ASV_955	47	0	0	0	0	0	0	0	0	0
ASV_956	47	0	0	0	0	0	0	0	0	0
ASV_957	28	0	19	0	0	0	0	0	0	0
ASV_958	14	0	0	0	0	0	0	0	0	33
ASV_959	0	47	0	0	0	0	0	0	0	0
ASV_960	0	47	0	0	0	0	0	0	0	0
ASV_961	0	47	0	0	0	0	0	0	0	0
ASV_962	0	47	0	0	0	0	0	0	0	0
ASV_963	0	47	0	0	0	0	0	0	0	0
ASV_964	0	21	26	0	0	0	0	0	0	0
ASV_965	0	0	47	0	0	0	0	0	0	0
ASV_966	0	0	47	0	0	0	0	0	0	0
ASV_967	0	0	47	0	0	0	0	0	0	0
ASV_968	0	0	47	0	0	0	0	0	0	0
ASV_969	0	0	47	0	0	0	0	0	0	0
ASV_970	0	0	47	0	0	0	0	0	0	0
ASV_971	0	0	47	0	0	0	0	0	0	0
ASV_972	0	0	0	47	0	0	0	0	0	0
ASV_973	0	0	0	19	0	28	0	0	0	0
ASV_974	0	0	0	0	0	0	47	0	0	0
ASV_975	0	0	0	0	0	0	47	0	0	0
ASV_976	0	0	0	0	0	0	47	0	0	0
ASV_977	0	0	0	0	0	0	47	0	0	0
ASV_978	0	0	0	0	0	0	47	0	0	0
ASV_979	0	0	0	0	0	0	0	47	0	0
ASV_980	0	0	0	0	0	0	0	0	47	0
ASV_981	0	0	0	0	0	0	0	0	47	0
ASV_982	0	0	0	0	0	0	0	0	47	0
ASV_983	0	0	0	0	0	0	0	0	0	47
ASV_984	0	0	0	0	0	0	0	0	0	47
ASV_985	46	0	0	0	0	0	0	0	0	0
ASV_986	46	0	0	0	0	0	0	0	0	0
ASV_987	46	0	0	0	0	0	0	0	0	0
ASV_988	46	0	0	0	0	0	0	0	0	0
ASV_989	25	0	21	0	0	0	0	0	0	0
ASV_990	24	22	0	0	0	0	0	0	0	0
ASV_991	10	18	0	0	0	0	0	18	0	0
ASV_992	10	9	27	0	0	0	0	0	0	0
ASV_993	0	46	0	0	0	0	0	0	0	0
ASV_994	0	46	0	0	0	0	0	0	0	0
ASV_995	0	46	0	0	0	0	0	0	0	0
ASV_996	0	46	0	0	0	0	0	0	0	0
ASV_997	0	29	17	0	0	0	0	0	0	0
ASV_998	0	0	46	0	0	0	0	0	0	0
ASV_999	0	0	46	0	0	0	0	0	0	0
ASV_1000	0	0	46	0	0	0	0	0	0	0
ASV_1001	0	0	46	0	0	0	0	0	0	0
ASV_1002	0	0	46	0	0	0	0	0	0	0
ASV_1003	0	0	0	46	0	0	0	0	0	0
ASV_1004	0	0	0	46	0	0	0	0	0	0
ASV_1005	0	0	0	9	21	16	0	0	0	0
ASV_1006	0	0	0	0	46	0	0	0	0	0
ASV_1007	0	0	0	0	46	0	0	0	0	0
ASV_1008	0	0	0	0	46	0	0	0	0	0
ASV_1009	0	0	0	0	0	0	46	0	0	0
ASV_1010	0	0	0	0	0	0	0	46	0	0
ASV_1011	0	0	0	0	0	0	0	46	0	0
ASV_1012	0	0	0	0	0	0	0	46	0	0
ASV_1013	0	0	0	0	0	0	0	0	46	0
